shap_Gender,shap_Scholarship holder,shap_Debtor,shap_Tuition fees up to date,shap_Displaced,shap_Educational special needs,shap_International,shap_Application mode,shap_Course,shap_Previous qualification,shap_Mother's qualification,shap_Father's qualification,shap_Mother's occupation,shap_Father's occupation,shap_Nacionality,shap_Age at enrollment,shap_Previous qualification (grade),shap_Admission grade,shap_Curricular units 1st sem (credited),shap_Curricular units 1st sem (enrolled),shap_Curricular units 1st sem (evaluations),shap_Curricular units 1st sem (approved),shap_Curricular units 1st sem (grade),shap_Curricular units 1st sem (without evaluations),shap_Curricular units 2nd sem (credited),shap_Curricular units 2nd sem (enrolled),shap_Curricular units 2nd sem (evaluations),shap_Curricular units 2nd sem (approved),shap_Curricular units 2nd sem (grade),shap_Curricular units 2nd sem (without evaluations),shap_Unemployment rate,shap_Inflation rate,shap_GDP,shap_Approval_Rate_Sem1,shap_Approval_Rate_Sem2,shap_Grade_Drop,shap_Total_Units_Failed,shap_Total_Units_Approved,shap_Avg_Grade,shap_Approval_Rate_Trend,shap_Financial_Risk_Score,shap_Scholarship_Debtor,shap_Total_Evaluations,shap_Enrollment_Drop,shap_Mature_Student,risk_score
-0.011230605,0.15925057,-0.02718537,-0.517563,0.0046755457,0.0007772251,0.00063457876,0.2614397,-0.8861389,-0.034077518,-0.2764329,0.2434217,0.011495368,0.07225219,-0.008630816,-0.1794767,0.16430259,0.23656602,-0.007971233,-0.009526752,0.13062315,0.09679276,0.050952036,-0.008239463,-0.011525367,-0.07123954,0.37990186,0.4692452,0.06394535,0.0011929619,0.11930107,0.094229266,-0.23744532,0.2998308,1.0059726,-0.007176153,-0.67866844,0.09159065,0.111384355,-0.06795694,-0.030298524,0.0001476254,0.1280191,-0.005740444,0.0048695183,0.760999
-0.049882982,0.1029079,-0.037197404,1.4524082,0.13804168,0.00035264587,0.004281335,0.06219077,0.15908222,-0.025484893,-0.1424538,-0.008289526,0.15815844,-0.023926266,0.008168653,-0.13921127,-0.6956527,-0.20822443,-0.041923337,0.028326709,0.10237625,-0.06958965,-0.16792321,-0.004877253,-0.025959559,0.00088997115,-0.0011923782,-0.36729854,-0.08171044,0.0010536924,0.08964319,-0.15696503,0.07256519,-0.5001793,-1.1612198,-0.111713775,-0.23707901,-0.20540437,-0.20346838,-0.18121924,0.03688621,0.00023380524,-0.007350359,-0.0088103805,-6.703263e-05,0.082048625
-0.013451094,0.103707,-0.014973941,2.1479661,-0.015854191,0.00065531104,0.0026046785,-0.10740618,-0.2904164,-0.016395198,0.22005658,0.017969832,-0.064639285,0.06890746,0.0029012493,-0.109963186,0.1564108,0.21181737,-0.00747756,0.104037,0.2255388,0.06452226,0.009361238,-0.007406338,-0.008208382,0.06418159,0.5357285,0.35170692,0.122355066,-0.00034495536,0.08691252,0.15033624,-0.06942474,0.31654355,0.9869777,0.011936611,0.84000075,0.12871346,0.08988715,-0.0650049,0.18972692,0.0011900377,0.20927627,-9.4962525e-05,-0.00077053555,0.998723
-0.005600345,0.08025533,-0.037174046,-0.43268245,0.029514784,0.0006854192,0.0010994631,0.2158748,0.42822945,-0.009778432,0.22162525,0.010273452,0.047572557,0.2630719,0.0037206742,-0.35721263,-0.13551679,-0.02716113,-0.01747292,0.0004770958,0.12520714,-0.094447985,-0.15355709,-0.009243551,-0.015461337,0.011373996,0.020803278,-0.048728894,-0.026258532,0.0011608169,-0.2501156,-0.27003595,-0.002998501,-0.519312,-0.7175011,0.11387512,-0.34806257,-0.034537762,-0.20700899,0.079045415,-0.038847487,-0.0001905243,0.10326718,-0.013807809,0.009211861,0.12190693
-0.03903007,0.18143165,-0.03007099,-0.41551715,-0.13585609,0.0005650017,0.000644728,-0.017698929,-0.8975738,-0.015738713,0.12838164,-0.122358754,-0.23344427,0.12135371,-0.0018625723,0.17051825,0.030325606,0.30925098,-0.01776094,0.032038312,-0.038013913,0.05616261,-0.009511571,-0.021074213,-0.012185638,0.01928117,-0.037530627,-0.25701746,-0.11122084,-0.0031551453,0.11254981,-0.02395563,0.011530237,-0.32786864,-1.4690478,-0.08572082,-0.4553748,-0.037805714,-0.23114471,-0.10745043,-0.027801257,-0.00063657475,-0.051577874,-0.014804042,0.00075073563,0.017239692
0.06659448,0.15250033,0.27392778,-0.39064485,-0.11077288,0.0009119804,0.0014967823,0.09668826,0.5529065,0.088853665,0.091560476,-0.134847,-0.15283263,-0.02507852,0.0018178218,0.51403326,-0.009321753,-0.31706598,-0.013900251,0.011889916,-0.16162375,0.043965675,0.09776776,-0.003992156,-0.0062449127,0.004915498,-0.2217397,-0.052102014,0.0068232114,-0.11654426,-0.16726448,0.012020475,0.2377064,-0.5782539,-1.4274464,-0.12116859,-0.2676738,-0.043679442,0.01359554,-0.36297283,0.32016,-0.00033170675,-0.15072022,-0.0068508573,0.0010949208,0.09797174
-0.028802736,-0.76871926,-0.03421542,-0.39222267,0.12938789,0.0005572699,0.00034836578,0.007059842,0.04617952,-0.02558999,-0.23266315,-0.2256984,0.08028763,-0.11851843,0.0021704028,-0.06017615,0.019162316,0.16085805,-0.016271776,0.005775473,-0.04114127,-0.05518814,-0.04599569,-0.012899764,-0.013204053,-0.02030757,-0.049549513,-0.33431754,-0.3442299,0.0010764347,0.16741417,-0.31829807,-0.016476838,-0.24522601,-1.1168582,0.11471079,-0.26045617,-0.05796227,-0.1888111,-0.314244,-0.027166178,-0.00084425986,0.061618436,0.02402205,-0.0010160923,0.010829757
-0.027824555,0.087805666,-0.01977778,2.423819,0.009828789,0.00085394457,0.0029993064,0.14614592,0.2014482,-0.0138478875,0.22426851,-0.005828254,-0.13806589,0.08568958,0.006056438,0.021446954,0.2855271,0.24103351,-0.0033289257,0.005170958,0.117673434,0.08333931,0.015347621,-0.0056463266,-0.0067431517,-0.04189062,0.18592222,0.35190898,0.13966283,0.001255206,0.055496864,0.009179814,0.24796337,0.33660004,0.9201603,-0.022658769,0.6972317,0.110171124,0.062897556,-0.069533534,0.28774068,0.0011472411,0.04420151,-0.001538721,-0.004884174,0.9991592
-0.03620637,-0.6398392,-0.03472952,-0.38103905,-0.3008746,0.0007263426,-0.007412609,-0.18294087,-0.11894063,-0.014716476,-0.058667008,0.050467715,-0.10943497,0.03920396,-0.17182447,-0.21282388,-0.02452233,0.17768584,-0.012723688,0.0047069173,0.1504949,-0.15266596,0.012934579,-0.022180565,-0.013201267,-0.0022140297,-0.020618211,-0.3327567,-0.36312255,0.00067488087,-0.24515782,0.1423628,0.048284233,-0.40327618,-1.3733842,0.00028603745,-0.29937968,-0.07750158,-0.22178666,-0.34492052,-0.024590984,-0.001080447,-0.007648986,-0.01993079,-0.00087318936,0.00378362
-0.019325903,0.055652693,0.15536782,2.0820758,0.031052805,0.0005580622,0.0018421182,-0.06656803,0.14495239,-0.020206658,-0.114593804,-0.017552868,0.040306248,-0.048420094,0.0045780838,-0.22268508,0.10415085,0.20409247,-0.011875523,0.051727362,-0.048800305,0.02444404,0.10230945,-0.0017849319,-0.013876152,0.030065415,0.00026648334,0.20657048,-0.13271989,0.0012520096,-0.04173323,0.16529213,-0.64157975,-0.09487874,0.93161243,-0.026288839,0.0392066,0.094182625,-0.14260906,0.23347056,0.12947261,0.000590381,-0.14092155,-0.0032797568,-0.0023675791,0.95499355
